name,gender,date_of_birth,age,height,international,team,team_foundation,position,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,attempts_from_set_pieces,away_goals,backward_passes,clean_sheets,corners_won,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,goal_assists,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,interceptions,left_foot_goals,offsides,own_goal_scored,penalties_conceded,penalties_off_target,penalties_saved,penalty_goals,penalty_goals_conceded,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_dribbles,successful_fifty_fifty,successful_long_passes,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_passes,total_red_cards,total_shots,total_tackles,touches,unsuccessful_corners_into_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
Luis Suárez,M,1997-12-02,25,185,FALSE,Granada CF,1931-01-01,Forward,172,116,56,37,1,5,152,2,23,412,251,161,91,164,19,0,37,4,8,51,46,5,5,3,240,135,105,0,0,3,3,6,1,5,0,0,1,0,0,5,0,7,158,0,0,0,35,25,0,15,3,0,6,44,44,19,396,12,14,38,0,2855,77,21,40,36,617,0,60,26,1169,0,35,28,198,36,174,1,6
Luis Miguel Cruz Hernández,M,2001-05-23,21,166,FALSE,Sevilla FC,1905-10-14,Forward,0,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,38,0,12,0,0,0,0,6,0,0,0,8,0,0,1,2,2,3,0,0
Luka Jovic,M,1997-12-23,25,182,FALSE,Real Madrid,1902-03-06,Forward,15,8,7,15,0,1,24,0,2,34,20,14,11,11,1,0,15,3,1,2,2,0,1,0,19,12,7,1,1,1,0,1,0,2,0,0,0,0,0,1,0,0,13,0,0,0,7,4,0,1,14,0,0,3,6,3,49,0,1,38,1,359,9,4,3,3,67,0,11,1,134,0,3,0,11,4,15,0,1
Luka Modric,M,1985-09-09,37,172,TRUE,Real Madrid,1902-03-06,Midfielder,20,14,6,28,1,0,233,2,13,182,94,88,62,464,17,0,28,8,2,20,18,2,1,1,162,80,82,3,0,2,2,20,1,1,0,0,0,0,1,2,0,1,421,0,0,0,4,11,0,19,3,4,11,32,32,106,1371,8,10,38,11,2049,38,9,24,32,1639,0,15,18,1966,13,16,27,160,39,135,1,5
Luuk de Jong,M,1990-08-27,32,188,FALSE,FC Barcelona,1899-11-29,Forward,52,18,34,21,0,0,75,1,3,99,42,57,22,32,4,0,21,0,6,3,2,1,6,0,47,24,23,1,5,2,0,0,0,6,0,0,0,0,0,0,0,1,28,0,0,0,12,10,0,4,15,0,1,3,13,0,131,2,7,38,2,643,16,12,8,12,182,0,22,9,315,0,1,1,40,11,50,0,1
Luís Manuel Arantes Maximiano,M,1999-01-05,24,190,FALSE,Granada CF,1931-01-01,Goalkeeper,7,1,6,35,0,0,0,7,0,21,7,14,1,837,0,0,35,0,0,55,49,6,0,0,14,6,8,0,0,0,0,1,0,0,1,0,0,2,0,5,0,0,89,2,127,0,0,0,0,1,0,0,0,2,0,254,239,2,1,38,0,3137,3,21,0,3,1025,0,0,3,1379,0,0,528,455,77,4,0,2
Mamadou Loum,M,1996-12-30,26,188,FALSE,Deportivo Alaves,1921-01-23,Midfielder,144,44,100,32,0,0,93,4,4,356,159,197,57,288,33,0,32,0,2,43,38,5,2,0,212,115,97,2,0,1,2,37,0,1,0,0,0,0,0,3,0,2,231,0,0,0,19,8,0,10,6,0,1,26,30,51,554,27,22,38,4,2317,41,68,50,22,830,0,27,49,1255,0,16,59,159,69,166,1,9
Mamadou Sylla,M,1994-03-20,28,184,FALSE,Rayo Vallecano,1924-05-20,Forward,22,8,14,12,1,0,17,0,3,46,23,23,6,19,3,0,12,0,0,8,8,0,0,0,24,15,9,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,12,0,0,0,9,1,0,1,11,0,0,4,2,3,42,0,1,38,0,247,6,3,8,4,62,0,10,1,126,1,4,1,20,2,16,0,2
Manuel Reina,M,1985-04-01,37,186,FALSE,RCD Mallorca,1916-03-06,Goalkeeper,7,1,6,21,0,0,0,8,1,11,1,10,0,411,0,0,21,0,0,26,22,4,0,0,4,0,4,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,81,1,52,0,0,0,1,0,0,0,0,0,0,150,196,0,0,38,0,1890,0,12,0,5,574,1,0,0,738,0,0,227,191,37,1,0,5
Manuel García,M,1998-01-02,25,169,FALSE,Deportivo Alaves,1921-01-23,Forward,13,10,3,24,0,0,76,1,3,173,87,86,36,173,19,0,24,1,0,15,15,0,0,0,160,77,83,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,157,0,0,0,2,1,0,7,14,5,17,32,19,54,360,9,9,38,2,1074,35,3,24,33,526,0,3,18,784,10,13,38,116,22,74,0,3
Manuel Morlanes Ariño,M,1999-01-12,24,178,FALSE,RCD Espanyol de Barcelona,1900-10-23,Midfielder,42,24,18,27,0,2,81,0,1,147,70,77,32,228,8,0,27,0,2,23,23,0,1,1,105,46,59,0,0,0,0,13,0,0,0,0,0,0,0,2,0,2,157,0,0,0,2,2,1,10,16,0,2,13,14,28,529,21,15,38,0,1138,8,17,13,11,645,1,4,36,817,0,2,18,66,26,70,0,6
Manuel Sánchez,M,2000-08-24,22,179,FALSE,CA Osasuna,1920-11-17,Defender,45,36,9,33,0,0,154,7,13,270,149,121,52,371,18,0,33,3,1,29,25,4,1,0,225,113,112,2,1,0,1,18,0,0,0,1,0,0,0,3,0,0,271,0,0,0,2,2,0,11,8,0,22,24,24,28,614,38,34,38,1,2258,47,34,32,16,859,0,4,72,1502,0,21,69,209,56,148,1,5
Manuel Trigueros Muñoz,M,1991-10-17,31,178,FALSE,Villarreal CF,1923-03-10,Midfielder,44,25,19,35,0,2,194,2,10,264,150,114,76,454,35,1,35,4,6,22,18,4,4,2,220,125,95,1,0,0,4,13,1,0,0,0,0,0,0,2,0,5,283,0,0,0,13,18,0,21,8,1,3,8,37,50,906,20,25,38,25,2191,34,14,49,43,1190,0,31,45,1524,2,7,43,214,36,191,3,3
Manuel Javier Vallejo Galván,M,1997-02-14,25,167,FALSE,Deportivo Alaves,1921-01-23,Forward,18,13,5,11,0,0,34,0,4,56,39,17,10,24,4,0,11,1,1,15,12,3,1,0,38,26,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,24,0,0,0,1,2,0,2,9,1,4,1,6,3,72,6,2,38,0,366,13,2,4,3,99,0,3,8,176,1,9,4,30,3,20,0,0
Marc Bartra,M,1991-01-15,32,184,TRUE,Real Betis,1907-09-12,Defender,97,36,61,23,0,0,49,8,0,197,76,121,48,443,14,0,23,0,1,24,22,2,1,0,100,40,60,2,0,0,1,33,0,0,0,0,0,0,0,2,0,0,297,0,0,0,11,3,0,1,0,0,0,7,28,82,842,25,14,38,2,1994,5,102,21,16,1121,0,14,39,1437,0,1,111,137,60,86,0,5
